med_id,nbr_senses,def_1,def_2,def_3,def_4,def_5,def_6,def_7,def_8,def_9,def_10,def_11,def_12,def_13,def_14,def_15,def_16,def_17,def_18,def_19,def_20,def_21,def_22,def_23,def_24,def_25,def_26,def_27,def_28,def_29,def_30,def_31,def_32,def_33,def_34,def_35,def_36,def_37,def_38,def_39,def_40,def_41,def_42,def_43,def_44,def_45,def_46,def_47,def_48,def_49,def_50,def_51,def_52,def_53,def_54,def_55,def_56,def_57,def_58,def_59,def_60,def_61,def_62,def_63,def_64,def_65,def_66,def_67,def_68,def_69,def_70,def_71,def_72,def_73,def_74,def_75,def_76,def_77,def_78,def_79,def_80,def_81,def_82,def_83,def_84,def_85
9328,4,"Possessing skill in a profession, art, or craft",Possessing knowledge,Of actions: (a) wise,Having refinement of character or conduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9340,5,"To acquire (a country) by force of arms, conquer",To defeat (an adversary),To make a conquest,To win or secure (sth.),To attain (to sth.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9343,2,"One who wins a country, subjugates a people, or defeats an adversary",One who is victorious in combat or in any other contest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9359,1,Advised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9363,1,"Consent, approval",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9392,4,"The court of a diocese for adjudication under canon law, bishop's court","A secular tribunal, or one of its sessions",The council chamber of the Roman senate or privy council of the Roman emperor,The 'court' of God as ruling and judging mankind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9418,5,"The chief executive officer of a ruler, ~ of England, ~ of Fraunce, ~ of Scotland",The chief officer of a ruler's household or court,"A governor or warden of a royal castle, stronghold, or domain",A high (or the chief) military officer of a ruler,"An officer of the king's peace (as of a county, hundred, or town)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9427,2,A constellation of fixed stars,"The position of a planet, or the moon, in relation to the ascendant sign of the zodiac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9477,7,"To have (sth.) inside, enclose or surround (sth.)","To have (sth.) as a constituent part, include (sth.)","To take up (space), occupy",To keep (sth,To restrain (sb.),To persist (in a certain state or activity),"To behave (in a certain way), conduct (oneself)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9480,3,"Dissension, discord, conflict, strife","The action of engaging in a physical encounter, in combat, or in warfare","Harshness, outrageousness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9481,1,"To carry on a controversy, quarrel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9500,5,"Behavior, bearing, conduct",Customary conduct or mode of living (as of a noble),"Controlled behavior, self-control, composure","Outward appearance, looks","Any indicative or expressive movement, such as a salute, wink, nod, smile, glance, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9524,3,"Moderation, restraint",Moderation in sexual intercourse (as between spouses),Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9565,7,To oppose (sth,"To oppose or violate (a doctrine, statute, etc.)",To antagonize or offend (sb.),"To oppose, contradict, object to, or deny (a statement, doctrine, opinion, etc.)",Of fortune: to be adverse or unfavorable,To be the opposite of (sth.),To perform (bloodletting) on the opposite side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9577,8,"Any geographic area or physiographic province, whatever its size: region, district, area, place","Any politically organized area, whatever its size: realm, domain, country, province, county, town, etc.",(One's) native country or district,The area surrounding a walled city or other stronghold,"The realm (of the air, the stars, heaven)",The people of a region or country,"&  (a) est ~, the Near East","countre folk, the natives or inhabitants of a particular district",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9578,1,"Falsifying one's appearance, feigning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9579,1,"A native or inhabitant of a particular country, district, or neighborhood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646,4,The summit or peak (of a hill or mountain),The crown (of the head),The top (of a tree or plant),Summit (of spiritual or ecclesiastical life),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9652,3,"Copper, the ore or the metal",Copper as the metal assigned to the planet Venus,"coper-smith, one who makes copper utensils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9668,1,A spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9682,3,"The heart as the seat of emotions, affection, attitudes, and volition","Inclination, desire","Valor, courage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9684,1,To encourage or embolden (sb.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9686,2,"Valiant, bold, brave, courageous","Desirous, eager (to do sth.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9692,1,Chaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9703,2,"Agreement, reconciliation","A chord, esp., a consonant chord",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9712,1,Reconciliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9714,1,To string (a bow),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9717,1,"Cordovan leather, or a skin of it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9729,1,A Hebrew dry measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9730,1,To remove the core of (a fruit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9739,1,A precious stone of some kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9750,1,The cormorant (Phalacrocorax carbo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9751,10,A crop of cereal-producing plants,A plant of one of the cereals,A cereal crop,"The desired product of anything, something worthy, the best portion",A species or variety of cereal plant or grain,A single grain of wheat or other cereal,Any of various cereal kernels used as a standard of measure for weight or length,"Compounds & combs.: (a) ~ arke, a bin for storing grain",The seed or fruit of any of various plants,"An enlarged gland, or other morbid formation, of rounded form",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9769,9,A figure formed by converging lines,Either of the two places where the upper and lower eyelids meet,"The place where converging walls, sides of a building, streets, or boundary lines meet",Combs,The corner of a flat or solid object,"A place enclosed within one of the corners of a building, room, or quadrangular pool","A nook or recess (in a building, ship, etc.)",A point of land,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9788,2,"A precious circlet, often of gold and gems, worn about the head for ornament or to show rank","The head of a spear or tilting lance [pointed on the former, blunt on the latter]: (b) the capital of a column",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9794,18,"A monarch's crown, diadem",A crown or crown-like headdress [worn by other than a monarch]: the ceremonial mitre of the Jewish high priest,"A wreath of laurel, garland of flowers, etc","~ of glorie, a glorious wreath",The crown of the blessed in heaven,The wreath of thorns with which Jesus was mockingly crowned,"Royal status or authority, sovereignty, reign","The royal dominion or estate, crown possessions","The royal person, the king",The right of performing the ceremony of coronation,"A figure of a crown, used as a decorative device, as a symbol of official authority, or as a heraldic charge",A coin of any of various Continental European coinages having a crown as part of the design,"In Jewish antiquity: a band of gold about the ark of the covenant, the table of the shewbread, or the altar of incense",Misc,"The top of the head, crown, skull",The tonsure of a cleric,The head of a flower,Cpds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9795,3,Coronation of a sovereign,The mock crowning of Jesus with the wreath of thorns,Tonsure of a cleric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9796,11,"To crown (sb.) ceremoniously, invest with sovereignty","Of God, Christ, the Virgin: (a) to crown (the Virgin)",To invest (sb.) with high office in the Church,"To put a crown or other ornament on someone's head as a symbol of power, excellence, etc.",To crown (Jesus) in mockery with a wreath of thorns,"To put a wreath or garland on (someone's) head for adornment or in recognition of excellence, valor, etc.","To 'crown' or reward (the virtuous), bestow eternal life and bliss upon","To bestow (happiness, honor, etc.) upon (sb.), reward (sb.)","To tonsure (a cleric), admit to holy orders","crouned, surmounted by the figure of a crown",Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9797,1,To hold a coroner's inquest (on sb.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9801,3,The crowning of a king or queen consort,The mock crowning of Jesus with the wreath of thorns,Tonsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9809,1,"The altar cloth on which the Eucharistic elements were placed during consecration, and with which they were subsequently covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9854,6,"A dead body, corpse",The body of a living person,"An individual, a person, (one's) person, (one's) self","The body (as distinct from head or limbs), trunk","Silk (or other material) woven in strips, often richly ornamented with silver and gold","?The substance of a metal, ?one of the seven bodies [see bodi 10b]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9857,1,A dealer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9873,1,"A kiss, kissing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9875,1,"Fraud, trickery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9877,4,"A blood relation, a kinsman or kinswoman",Nephew or niece,"?An intimate, a mistress",As surname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9884,1,To barter (sth.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9890,1,Costus root (the root of Saussurea lappa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9897,2,To cost (a specified amount),To spend money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9922,1,Wool matted together in the fleece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9927,1,A quota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9936,1,"Disease, illness, sickness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9953,2,"Lacking in courage, cowardly, timid","Foolish, without understanding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9956,2,"Cowardice, cowardliness","Stupidity, folly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9960,1,Cowardice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9963,3,"To lie down, lie in bed",To spread or lay (sth,"To lay (sth., somewhere), put down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9972,1,"One who tends cows, a cowherd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9981,10,"A meeting, conference, council",The act of discussing or conferring,A body of advisers to a ruler,"An adviser, a counselor","Counsel, advice, instruction",A decision,"Agreement, assent, permission","A secret, private matter(s, a secret plan","Ability to advise, judgment","and  ~ chaumbre, the room in which a council meets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9982,5,"To counsel (sb.), advise, teach, instruct","To ask advice of (sb.), consult","To take counsel, deliberate","To be in league with (sb.), assist (sb.)","To persuade (sb.), win over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9988,3,"A count, calculation",Valuation,"A statement of money received and/or expended, an accounting of money or property, a reckoning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9992,1,The wife of a count or an earl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9995,1,"A bed covering, quilt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9997,1,"A hostile meeting, onset, battle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9998,1,"Opposite, in the opposite direction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,4,"Made to resemble something, made after a pattern, imitation","Of a person: disguised, impersonating someone else, false","Assumed, pretended","Deformed, misshapen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,6,"To follow the example of (a person), imitate, emulate","To make a copy of (sth.), imitate, emulate","To pretend to be (sb.), pass oneself off as (sth.)",To make a false imitation,"To simulate (a feeling, quality, etc.), assume, put on","To contrive (deceit, murder, treason)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008,2,"To meet (sb.) in battle or combat, attack, fight with","To meet (sb.), come upon, encounter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024,2,A large wicker basket,A tub or cask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031,1,"To pay the penalty for (sth.), suffer for",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038,6,"A man and woman joined in marriage, a couple",Copulation,A pair (a) of people,One of a pair of matched rafters,A leash for joining a brace of hounds,"A dry measure, esp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048,14,Running (of man or beast),A charge in battle or tourney,"Force of movement, impetus",Movement from one position or place to another,The flow or surge of water,The flux or flow (of 'humors'),The movement of a heavenly body or sphere,"A sequence of periods, stages, or events","Progression or development (of an activity or condition), course (of a disease)",A process,Procedure or practice established by law or custom,"A horizontal range of masonry, arches, or ornaments, a course",One of the courses of a meal,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052,1,To pursue or hound (sb.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10057,1,Short (lot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10059,4,Of persons: courtly or refined in manners,"Gracious, benevolent, generous, merciful: (a) of persons, God","Respectful, deferential, meek: (a) of persons","As noun: (a) a courtly, courteous, or gracious person",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060,6,The complex of courtly ideals,Refinement of manners,Benevolent or humane disposition or conduct,"Of a deity: beneficence, grace, mercy, or an instance of it",A gracious reward or gift,"tenaunt bi the ~, tenant by special dispensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,1,In a courtly manner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10075,4,Of things or events: (a) known,"Of persons: (a) known, familiar","Renowned, famous, respected",Familiar with proper manners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081,2,A den or cave,"Chamber, closet, pantry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10085,4,To covet (worldly goods or estate),To desire or lust after (sb.) sexually,To desire strongly (sth,"To desire strongly (to have sth., to do sth., etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10088,3,Immoderate desire for acquiring worldly goods or estate,Strong sexual desire,Strong desire or craving [whether good or bad],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090,2,Immoderately desirous of acquiring worldly goods or estate,Strongly desirous (of sth.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100,8,An agreement between parties binding them to certain provisions,A formal contract,"A covenant between God and man, or Christ and man","~ breker, ~ breking, ~ briche, ~ making",A promise made by one of the parties to a mutual agreement,"The provisions, terms, or conditions of a formal agreement or contract","A conditional provision, a condition",The matter promised in an agreement or contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,5,A gathering or assembly of persons,A company of men or women bound together by monastic or canonical rule under one superior,"An establishment of monks, friars, canons, or nuns",A building or set of buildings for a conventual establishment,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105,2,"Something that covers, such as (a) a cloth","Something that shelters or conceals, such as (a) the Ark (of the Covenant)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109,7,A piece of cloth used to cover part of the head,A number of such cloths worn as a headdress,A woman's headcloth or veil put to various adventitious uses,?Material for kerchiefs,"A piece of cloth used about the person for various purposes: (a) a neckcloth, neckerchief",A cloth for misc,"~ lavender, a kerchief laundress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10111,1,?With head covered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112,17,To cover (an object) by laying or spreading material over or about it,"To cover (sb., the body, its parts) with an article of clothing or armor",To caparison (a horse),"Of an article of clothing: to cover (sb., the body)",To cover (one's head or hair) with a hat or other headdress,"To cover (a piece of furniture, an altar, coffin, etc.) with a cloth or pall","To cover (a table) with a cloth and other appropriate setting for a meal, set (a table), ~ bordes","To cover (a vessel, its contents) with a lid",To cover (a building) with roofing material,To cover (a surface) with material for protection or ornament,To cover (a surface) with something that spreads over its entire extent,"Of an agent: to shield (sb., the body, etc.) with or under a protecting instrument",Of an agent: (a) to hide (sb,Of the instrument: to hide or conceal (sb,To cloak or alleviate the symptoms of (disease) without cure,"and  To hide (oneself), take cover","To envelop, surround, or overwhelm (sb.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10116,3,A cloth for covering a bed,"A piece of cloth used for covering various other objects: an altar cloth, a pall, a couch cover, a cloak, etc","~ maker, ~ wever, ~ yarn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10125,6,Covering for a bed,Covering for the human body,The cover (of a vessel),A roof,Concealment,"A protective device, a refuge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128,1,"In agreement, with one accord",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141,4,A manger (for feeding animals),A basket,A stable,Some kind of brooch [?error for crǒuch a cross],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143,1,To scratch (sth.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145,1,"A worthless person, a slob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146,2,A cradle for a baby,A device for holding or hoisting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147,11,"Strength, force, power","Skill, dexterity, cleverness, ingenuity","An art, a handicraft","~ of armes, military knowledge, skill in warfare","The theory of an art, a formal body of teachings, a science (applied)","A trade, an occupation","An organization of craftsmen, a guild",A skillful way of doing something,"Something built or made, a structure, a work",?As adj.: learned,As second element of cpds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152,1,"A skilled workman, an artisan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10172,1,An element in surnames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10175,1,A kind of bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
